총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,865","50"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,815","111"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,704","277"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,427","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,426","10"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,073,416","500"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,916","10"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,906","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,905","12"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,893","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,892","120"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,772","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,771","10"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,761","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,072,760","1,000"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,071,760","100"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,071,660","2,000"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,660","100"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,560","200"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,360","67"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,293","10"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,283","2"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,281","1"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,280","200"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,069,080","200"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,068,880","111"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,068,769","50"
30672,"09:33:13","4,795","-30","4,809.99","1,740.83","8,068,719","1"
30672,"09:33:11","4,795","-30","4,809.30","1,740.58","8,068,718","2,484"
30672,"09:33:11","4,795","-30","4,809.30","1,740.58","8,066,234","10"
30672,"09:33:09","4,795","-30","4,808.63","1,740.34","8,066,224","3,283"
30672,"09:33:03","4,795","-30","4,805.21","1,740.09","8,062,941","400"
30672,"09:32:51","4,795","-30","4,805.21","1,740.34","8,062,541","1,000"
30672,"09:32:51","4,795","-30","4,805.21","1,740.34","8,061,541","206"
30672,"09:32:48","4,795","-30","4,805.87","1,740.34","8,061,335","1"
30672,"09:32:47","4,800","-25","4,805.87","1,740.58","8,061,334","7"
30672,"09:32:46","4,795","-30","4,805.87","1,740.58","8,061,327","4,000"
30672,"09:32:45","4,800","-25","4,805.87","1,740.34","8,057,327","30"
30672,"09:32:40","4,795","-30","4,806.54","1,740.34","8,057,297","50"
30672,"09:32:40","4,800","-25","4,806.54","1,740.34","8,057,247","100"
30672,"09:32:38","4,800","-25","4,806.54","1,740.09","8,057,147","1"
30672,"09:32:34","4,800","-25","4,806.54","1,740.09","8,057,146","100"
30672,"09:32:31","4,800","-25","4,806.54","1,740.34","8,057,046","1"
30672,"09:32:26","4,795","-30","4,806.54","1,740.09","8,057,045","100"
30672,"09:32:21","4,795","-30","4,806.56","1,740.09","8,056,945","2,360"
30672,"09:32:15","4,800","-25","4,806.56","1,740.09","8,054,585","1"
30672,"09:32:12","4,795","-30","4,806.54","1,739.60","8,054,584","5"
30672,"09:32:08","4,795","-30","4,806.54","1,739.35","8,054,579","5"
30672,"09:32:06","4,795","-30","4,806.54","1,739.35","8,054,574","1,000"
30672,"09:32:04","4,800","-25","4,806.54","1,739.60","8,053,574","1"
30672,"09:31:57","4,800","-25","4,805.85","1,739.60","8,053,573","9,908"
30672,"09:31:57","4,800","-25","4,805.85","1,739.60","8,043,665","92"
30672,"09:31:45","4,800","-25","4,805.85","1,739.60","8,043,573","10"
30672,"09:31:44","4,800","-25","4,805.85","1,739.60","8,043,563","5"
30672,"09:31:42","4,800","-25","4,805.16","1,739.84","8,043,558","208"
30672,"09:31:39","4,800","-25","4,804.47","1,740.34","8,043,350","30"
30672,"09:31:39","4,795","-30","4,804.47","1,740.34","8,043,320","2"
30672,"09:31:35","4,800","-25","4,804.47","1,739.60","8,043,318","2"
30672,"09:31:29","4,800","-25","4,804.49","1,739.35","8,043,316","2"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,043,314","1"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,043,313","5"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,043,308","1"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,043,307","50"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,043,257","3,000"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,040,257","1,000"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,039,257","10"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,039,247","1,040"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,038,207","7"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,038,200","30"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,038,170","2"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,038,168","200"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,968","20"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,948","100"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,848","100"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,748","10"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,738","10"
30672,"09:31:26","4,800","-25","4,804.52","1,738.86","8,037,728","55"
30672,"09:31:25","4,800","-25","4,805.18","1,738.61","8,037,673","1,000"
